id_empresa|nombre|logo|direccion|horario|descripcion|sitio_web|latitud|longitud|fecha_creacion
85f6b598715eab12063635c44fc5d47f424a1b84|CHARLOTTE||Av. Rivera Navarrete 788, San Isidro|Horario de atención: de lunes a viernes de 8 a.m. a 9 p.m  / sábados de 8 a.m. a 1 p.m.|Charlotte es una cadena de cafeterías gourmet donde diariamente podrás disfrutar de una deliciosa lasagna de lomo saltado (premio al Mejor Plato Mistura 2010), unos maravillosos hotcakes, de un contundente club sándwich, ensaladas con aderezos insuperables y los más variados postres de Lima. ¡Visítalos, ya!|http://https://es-la.facebook.com/CharlottePeru|-12.0951446|-77.02649539999999|30-03-2015 14:00:00
6317ba5dcc846a6464cc6e1d675043fc9d7db047|LA CANDELARIA|http://cde.2.ofertop.pe/est/408.jpg?201503271751|Av. Bolognesi 292, Barranco|Horario del espectáculo: de 10:30 p.m. a 2:30 a.m.|La Candelaria basa su indudable éxito en su singular propuesta dancística que lleva un mensaje rotundo de peruanidad. Sus tres pilares fundamentales para mantener la calidad de sus espectáculos son sin duda las extraordinarias particularidades de sus danzas excelentemente conducidas; su exquisita cocina, su creativo y surtido bar y la gran calidad de sus servicios.^Un hito importante de esta casa barranquina ha sido también, la introducción en sus celebraciones por Año Nuevo de un novedoso concepto artístico sobre el ancestral rito andino del “pago a la pachamama”, que se ha convertido en la mayor atracción de esta fecha. Además, encontrarás un servicio de primera, sonido inmejorable, pródiga iluminación con buena pista de baile y sobre todo un recuerdo inolvidable.|http://www.lacandelariaperu.com|-12.14886848053975|-77.01996508227836|30-03-2015 14:00:00
479f0d4b70bb19be63f1451f5eca669c631d0e71|PURO PERÚ||Av. República de Panamá 258, Barranco|Horario de atención: sábado de 12 m. a 5 p.m.|Puro Perú es un prestigioso restaurante con una variedad de platos peruanos, donde disfrutarás de una nueva propuesta con originales variedades culinarias de nuestras regiones. Encontrarás en su buffet los más exquisitos pescados y mariscos, comida criolla, platos calientes, ensaladas, salteados y chaufas, pastas, sushi & rolls, flambeados, y exquisitos postres.|http://www.puroperu.com.pe/|-12.140015933102077|-77.01745524655763|30-03-2015 14:00:00
9ac42077ba8a693ed0796235fd22697bdf2e24ba|SANGUCHERÍA EL CHINITO||Av. Grimaldo del Solar 113 (alt. 7 de Benavides), Miraflores|De lunes a jueves de 8 a.m. a 3 p.m. y de 6 p.m. a 10 p.m. / viernes de 8 a.m. a 10 p.m.|Desde 1960 ''El Chinito'' es conocido como la mejor y más típica Sanguchería que ofrece los más deliciosos y tradicionales sánguches peruanos. El pan con chicharrón, con lechón o con pavita, son solo algunas de las más deliciosas especialidades que podrás disfrutar junto a familia o amigos en un grato y tradicional ambiente.|http://www.elchinito.com.pe|-12.122257988826057|-77.02579800244678|30-03-2015 14:00:00
9baa6dcf8d62e9e31064aaf0ffd9b9ac5f1235b3|BARRANCO BEER COMPANY||Av. Almirante Grau 308, Barranco|De lunes a domingo de 5 p.m a 8 p.m.|Barranco Beer Company nacida de ideales cerveceros y costumbres peruanas, es una cervecería de concepto vanguardista, no obstante conserva las técnicas originales para la elaboración tradicional de la cerveza. Su especialidad son las cervezas tipo Craft-Artesanal, usando en su elaboración insumos de la más alta calidad, contando con el asesoramiento profesional continuo de cerveceros y microbiólogos para un buen control de calidad.|http://www.facebook.com/BarrancoBeerCompany|-12.1472730364287|-77.02219857344971|30-03-2015 14:00:00
033939d81d9daad11ba695908e063d099231e988|EL PAPAPA||Av. Villarán 824, Surquillo (A 4 cuadras de la Av. Aviación)|Horario de atención: de lunes a jueves de 4 p.m. a 12 a.m. / viernes y sábados de 4 p.m. a 1 a.m. / domingos de 4 p.m. a 12 a.m.|En El Papapa tienen la consigna de hacerte sentir “como en casa” con la estrella de su carta a la cabeza: sus salchipapas ofrecidas en distintas versiones elaboradas con frescos ingredientes y una gran variedad de salsas. Por ejemplo, La Tía de Huacho, La Prima; y El Papapa. Además, todos sus platos vienen acompañados de gaseosa ilimitada.^Y para los que prefieren cuidar la línea, también hay platos ligeros pero sabrosos como La Vecina y La Hermana. ¡Te invitamos a probar su deliciosa sazón!|http://www.facebook.com/elpapapa01/timeline|-12.12092838578219|-77.00302235221864|30-03-2015 14:00:00
2e5cff6cb008f009eba3f50e9e949f0483586563|ASAKUSA SUSHIBAR RESTAURANTE|http://cde.2.ofertop.pe/est/440.jpg?201503271751|Av. Javier Prado Este 2994, San Borja|Horario de almuerzo: de lunes a jueves de 12:30 m. a 3:30 p.m.^^Horario de cena: de lunes a jueves de 7 p.m. a 11 p.m.|Asakusa Sushibar Restaurante fue creado por cuatro jóvenes peruanos japoneses, con la idea de ofrecer la mejor comida japonesa fusión de Lima. Cuenta con una variada y deliciosa carta, y un espectacular y bien surtido sushibar, además de un local con un bello local de estilo japonés contemporáneo y una atención de primera.|http://www.asakusa.pe/|-12.086826|-76.99668099999997|30-03-2015 14:00:00
329f57fff69d289a4f55e97f6231119ab841b770|EDO SUSHI BAR.|http://cde.2.ofertop.pe/est/1163.jpg?201503271751|C.C. Jockey Plaza (Av. Javier Prado Este 4200, Surco)|De lunes a jueves de 12 m. a 10 p.m.|Disfruta la aventura culinaria de la comida nikkei en EDO Sushi Bar. La fusión de la cocina japonesa y peruana en una versión moderna y fresca, donde los Itamaes expertos aportarán sus conocimientos para deslumbrar a tu paladar.|http://www.edosushibar.com|-12.084798|-76.97837679999998|30-03-2015 14:00:00
aeaf661b77cccb0caad3eb407eb74585771b9851|SWEET WAFFLES||C.C. Comercial Real Plaza Primavera piso 2, frente al Patio de comidas|De lunes a domingo de 11 a.m. a 10 p.m.|Disfruta de los riquísimos postres que Sweet Waffles ofrece para ti. Tiene a disposición de tu paladar los más ricos waffles belgas, milkshakes y frappés en variados sabores. ¡Disfrútalos en su versión original o agrégales todos los toppings que quieras!|http://www.facebook.com/sweetwafflesperu|-12.111015478760871|-77.00193873977662|30-03-2015 14:00:00
5a59adcc09c83c0dcb6d30fa74ead76bb5549f10|LA DAMA JUANA|http://cde.2.ofertop.pe/est/1162.jpg?201503271751|Av. República de Panamá 230, Barranco|De lunes a domingo de 12:30 m a 4 p.m. (almuerzo) / de lunes a domingo de 7:30 p.m. a 10 p.m. (cena)|La Dama Juana es un reconocido restaurante ubicado en el distrito de Barranco. Como buen representante de nuestra gastronomía ofrece a sus comensales una variada carta, así como los más selectos tragos y bebidas. Cuenta con elegantes y acogedores ambientes donde podrás disfrutar los mejores potajes de nuestra comida, viviendo una experiencia inolvidable.|http://ladamajuana.com.pe/|-12.14013131100782|-77.01785221349184|30-03-2015 14:00:00
