id_oferta|nombre_corto|nombre_largo|precio_regular|descuento|ahorro|fecha_creacion|fecha_finaliz|descripcion_oferta|condiciones_oferta|url_oferta|estado|empresa
11539|¡Delicia nikkei! 48 Cortes de Makis para 2 personas en Asakusa|¡Para 2! S/. 58 en vez de S/. 128 por 48 Cortes de Makis para 2 personas: 12 Tenkatsu + 12 Emperador + 12 Volcanos + 12 Acevichados en ASAKUSA SUSHI BAR – RESTAURANTE|128.0|55.0|70.0|27-03-2015 20:00:00|'2015/03/30 23:59:59'|Todo sobre la oferta^^¡Si eres de aquellas personas que muere por la comida nikkei, no puedes perderte esta oportunidad! OferTOP y Asakusa Sushi Bar te traen lo mejor de la comida peruano-japonesa, con 55% de descuento ¡La invitación está hecha!^^La oferta incluye:• 48 piezas de Makis:^^Descripción del servicio:^- 12 Acevichados: relleno de palta, langostino empanizado y pulpa de cangrejo. Vienen cubiertos en salsa acevichada.^^- 12 Tenkatsu: relleno de langostino empanizado, palta, queso crema. Cubierto con chispas de tempura, cebollita china en salsa dulce y ajonjolí blanco. ^^- 12 Emperador: relleno de queso crema, langostino empanizado. Cubierto de láminas de palta en salsa taré. ^^- 12 Volcanos: relleno de langostino empanizado y queso crema. Cubiertos de láminas de palta en salsa picante.|Lo que debes Saber^^Podrás usar este cupón hasta el 9 de abril de 2015.^^1 OferTOP para 2 personas, regala todos los que quieras.^^Máximo 2 OferTOPs por mesa. ^^Horario de almuerzo: de lunes a jueves de 12:30 m. a 3:30 p.m.^^Horario de cena: de lunes a jueves de 7 p.m. a 11 p.m.^^Oferta válida únicamente de lunes a jueves.^^La atención se realizará previa reserva, con 24 horas de anticipación, llamando al: 346- 0222 o escribiendo a contactos@asakusa.pe^^Oferta no válida para feriados. ^^Oferta válida únicamente en local de San Borja. ^^No válido para llevar ni para delivery.^^No acumulable con otras promociones.^^No olvides presentar tu cupón impreso en el establecimiento.^^Reservas sujetas a disponibilidad.^^Las imágenes mostradas son referenciales. ^^Stock mínimo disponible: 5^^Una vez realizada la reserva no se aceptarán cambios de fecha, ni cancelaciones.^^Conoce las Políticas y condiciones que aplican a todas nuestras ofertas.^^Realiza tus pagos en efectivo.^^¡Te enviaremos tu OferTOP después de realizar tu compra! No más esperas, para que lo puedas disfrutar cuando te provoque, previa reserva.^^Si en un plazo de 1 hora luego de realizar tu compra no recibes tu cupón OferTOP en tu correo electrónico registrado, por favor escríbenos a clientes@ofertop.pe y te daremos una pronta solución (Coloca en el asunto: Cupón no recibido).|http://ofertop.pe/delicia-nikkei-48-cortes-makis-para-2-personas-asakusa--109-11539.html|True|2e5cff6cb008f009eba3f50e9e949f0483586563
11919|¡Qué rico! Piqueo marino para 3 en Amariscos, Pescados y Mariscos|¡Para 3! S/. 99 en vez de S/. 130 por Piqueo Marino: Choritos a la chalaca + Cebiche de pescado + Causa al olivo + Chilcano de pisco o Pisco Sour y más en AMARISCOS, Pescados y Mariscos|143.0|31.0|44.0|27-03-2015 20:00:00|'2015/03/31 23:59:59'|Todo sobre la oferta^^¿Te has dado cuenta que el verano está insoportable?, ¡Claro! Entonces, no hay nada mejor que refrescarse con un piqueo marino para 3 personas. Deleita a tu paladar con estos manjares del mar, con 31% de descuento :)^La oferta incluye:^^• Piqueo Marino para 3 personas.^^Descripción:^- Choritos a la chalaca (6 unidades): rellenos de cebolla en cuadraditos, tomatito, rocoto picadito y bastante limón.^^- Cebiche de pescado (100 gr.): con el punto exacto de limón, ají y sal, viene acompañado de choclo y camote. ^^- Tentación Marina: arroz agridulce con chicharrón de pescado glaseado y trozos de cabanossi. ^^- Delicia Marina: 4 unidades de tequeños rellenos de pulpa de cangrejo y langostinos. ^^- Causa al Olivo: causa rellena de pulpo al olivo^^^Incluye Chilcano de Pisco o Pisco Sour x 3 (de 200 ml. cada uno, tamaño normal)^^TOMAR BEBIDAS ALCOHÓLICAS EN EXCESO ES DAÑINO PARA LA SALUD|Lo que debes Saber^^Podrás usar este cupón hasta el 30 de abril 2015.^^1 OferTOP para 3 personas, regala todos los que quieras.^^Máximo 1 OferTOP por mesa.^^Horario de reservas: de martes a domingo de 9 a.m. a  4 p.m. ^^Horario de atención: de martes a domingo de 12 m a 4 p.m.^^La atención se realizará previa reserva, con 24 horas de anticipación, llamando al 340-1294 o escribiendo a amariscos02@gmail.com^^No se atenderá a personas sin reserva.^^Oferta no válida para feriados. ^^Oferta exclusiva para Amariscos, Pescados y Mariscos de La Molina. ^^No incluye bebidas.^^Válido para consumo en el local, no para llevar.^^No olvides presentar tu cupón impreso al mozo antes de realizar el consumo.^^No acumulable con otras promociones.^^Las imágenes mostradas son referenciales.^^Reservas sujetas a disponibilidad.^^Stock mínimo disponible: 10. ^^Una vez realizada la reserva no se aceptarán cambios de fecha, ni cancelaciones.^^Conoce las Políticas y condiciones que aplican a todas nuestras ofertas.^^Realiza tus pagos en efectivo.^^¡Te enviaremos tu OferTOP después de realizar tu compra! No más esperas, para que lo puedas disfrutar cuando te provoque, previa reserva.^^Si en un plazo de 1 hora luego de realizar tu compra no recibes tu cupón OferTOP en tu correo electrónico registrado, por favor escríbenos a clientes@ofertop.pe y te daremos una pronta solución (Coloca en el asunto: Cupón no recibido).|http://ofertop.pe/rico-piqueo-marino-para-3-amariscos-pescados-mariscos--109-11919.html|True|69c51a33df88d26e642b12e7db70672adc740377
11922|¡Disfrútalo! 2 o 4 Entradas + Piqueo + Bebidas en Restaurante D''paso|¡Para 2 o 4 personas! Desde S/. 44.90 por Entradas al espectáculo ''Show del Caballo Peruano de Paso'' + Piqueo + Bebidas en Restaurante D''PASO|79.0|43.0|34.1|27-03-2015 20:00:00|'2015/03/31 23:59:59'|Todo sobre la oferta^^Vive la belleza y maestría del Caballo Peruano de Paso en un bello lugar de Pachacamac: el Restaurante D''PASO. Comparte con tus seres más queridos un almuerzo con la mejor comida y un especial show típico que disfrutarás con 43% de descuento^La oferta incluye:^OPCIÓN 1:^^S/. 44.90 en vez de S/. 79 por:^^• 2 Entradas al espectáculo de caballo peruano de paso^^• 1 Piqueo "D''paso" para 2 personas^^• 2 copas de vino tinto o blanco^^OPCIÓN 2:^^S/. 79.90 en vez de S/. 158 por:^^• 4 Entradas al espectáculo de caballo peruano de paso^^• 2 Piqueos "D''Paso" para 4 personas^^• 1 botella de vino tinto o blanco^^Detalles:^* Exhibición del Caballo Peruano de Paso: peruanísimo espectáculo presentando los siguientes números:^^- Potro al cabestro^^- Marinera norteña^^- "Jose Antonio" con cintas de seda^^- 2 danzas típicas^^* Piqueo D''Paso:^^- Anticuchos ^^- Causa de pollo ^^- La clásica papa a la huancaína ^^- Tostones rellenos de langostinos^^TOMAR BEBIDAS ALCOHÓLICAS EN EXCESO ES DAÑINO PARA LA SALUD|Lo que debes Saber^^Podrás usar este cupón únicamente de martes a viernes hasta el 30 de abril del 2015.^^1 OferTOP para 2 o 4 personas, regala todos los que quieras.^^Máximo 2 OferTOP por mesa.^^Horario de reservas: de lunes a sábado de 9 a.m. a 6 p.m.^^Horario de atención: de martes a viernes desde las 11 a.m. / Inicio del show: 12:30 p.m. ^^La atención se realizará previa reserva, con 48 horas de anticipación, llamando a 445-0567 o escribiendo a informes@dpaso.pe^^Se puede permanecer en el local entre 11 a.m. y 5 p.m.^^Oferta válida solo para consumir en el local, no válido para llevar.^^No acumulable con otras promociones.^^Las imágenes mostradas son referenciales.^^Reservas sujetas a disponibilidad.^^No olvides presentar tu cupón impreso en el establecimiento.^^Stock mínimo disponible: 10.^^Una vez realizada la reserva no se aceptarán cambios de fecha, ni cancelaciones.^^Conoce las Políticas y condiciones que aplican a todas nuestras ofertas.^^Realiza tus pagos en efectivo.^^¡Te enviaremos tu OferTOP después de realizar tu compra! No más esperas, para que lo puedas disfrutar cuando te provoque, previa reserva.^^Si en un plazo de 1 hora luego de realizar tu compra no recibes tu cupón OferTOP en tu correo electrónico registrado, por favor escríbenos a clientes@ofertop.pe y te daremos una pronta solución (Coloca en el asunto: Cupón no recibido).|http://ofertop.pe/disfrutalo-2-4-entradas-piqueo-bebidas-restaurante-paso--109-11922.html|True|2094e9ae965b8d803108f80b53446b13456f1016
11878|¡Delicioso! 2 Frosty de fruta en Big Lila Café|¡Lo mejor para refrescarte! Desde S/. 11.90 por 2 o 4 Frosty de fruta en BIG LILA CAFÉ. ¡Elige el sabor de tu frosty!|20.0|40.0|8.1|27-03-2015 20:00:00|'2015/03/30 23:59:59'|Todo sobre la oferta^^Nada mejor en verano que refrescarnos con un delicioso frosty de Big Lila Café. ¿Ya pediste el tuyo? No lo dejes pasar con 40% de descuento. ¡Vuela que se acaban! ^La oferta incluye:^OPCIÓN 1:^^S/. 11.90 en vez de S/. 20 por: ¡Para 2! ^^• 2 Frosty de fruta de 16 oz.^^OPCIÓN 2:^^S/. 20.90 en vez de S/. 40 por: ¡Para 4! ^^• 4 Frosty de fruta de 16 oz.^^Elige el sabor de tu frosty:^^- Fresa, Mango, Piña, Maracuyá, Papaya y Chocolate.^^¡No esperes más y refréscate ya :)!|Lo que debes Saber^^Podrás usar este cupón hasta el 5 de mayo de 2015.^^1 OferTOP para 2 o 4 personas, regala todos los que quieras.^^Máximo 2 OferTOPs por mesa. ^^Horario de atención: de lunes a viernes de 7 a.m. a 10 p.m. / sábado de 8 a.m. a 4 p.m.  ^^No se requiere realizar reservas para la atención. ^^Oferta no válida para domingos ni feriados.^^La oferta es válida para consumir en el local o para llevar.^^No aplica para smooties adicionales y extras^^Sabores sujetos a disponibilidad.^^No olvides presentar tu cupón impreso en el establecimiento.^^Las imágenes mostradas son referenciales. ^^Conoce las Políticas y condiciones que aplican a todas nuestras ofertas.^^Realiza tus pagos en efectivo.^^¡Te enviaremos tu OferTOP después de realizar tu compra! No más esperas, para que lo puedas disfrutar cuando te provoque.^^Si en un plazo de 1 hora luego de realizar tu compra no recibes tu cupón OferTOP en tu correo electrónico registrado, por favor escríbenos a clientes@ofertop.pe y te daremos una pronta solución (Coloca en el asunto: Cupón no recibido).|http://ofertop.pe/delicioso-2-frosty-fruta-lila-cafe--109-11878.html|True|325bd4a54df6a4c4676ae2f2fe474419bbfdbe1d
11895|Festival del chancho para 4 en Paso Obligao de Pachacamac|¡Para 4! S/. 79 en vez de S/. 178 por Festival del chancho para 4 personas en PASO OBLIGAO de Pachacamac. Incluye: Chancho al palo + Chancho al cilindro + Chancho a la caja china y más|178.0|56.0|99.0|27-03-2015 20:00:00|'2015/03/30 23:59:59'|Todo sobre la oferta^^¡Qué rico almuerzo a la leña es el que vas a disfrutar con tus amigos o familiares en Paso Obligao! Ve imaginando toda esa deliciosa carne de chanchito entre tus tenedores. ¿Se te hizo agua la boca? ¡No podrás dejar pasar este 56% de descuento!^La oferta incluye:^^• Festival del chancho para 4 personas.^^Descripción:^- 1 Porción de Chancho al palo: chancho deshuesado es cocinado a leña lentamente con esta técnica especial, alcanzando una textura inigualable.^^- 1 Porción de Chancho al Cilindro: sabroso corte de carne con ligero sabor ahumado.^^- 1 Porción de Chancho a la Caja china: crocante carne preparada al mejor estilo de la caja china.^^- 10 Panes a la leña: pequeños panes calientitos, cocidos en horno de barro, para que acompañes tus platos.^^- Porción de Champiñones: a la leña cocidos con especias y un toque de mantequilla. ^^- Ensalada grande de la casa: exquisita y con el sabor y preparación único como Paso Obligao lo sabe hacer.^^¡Y todo esto para 4 personas!|Lo que debes Saber^^Podrás usar este cupón hasta el 16 de mayo de 2015.^^1 OferTOP para 4 personas, regala todos los que quieras (indispensable la asistencia de los 4 comensales).^^Máximo 2 OferTOPs por mesa.^^Horario de reservas: de lunes a viernes de 10 a.m. a 4 p.m.^^Horario de atención: sábados de 12 m. a 4 p.m. ^No valido para días de semana, domingos ni feriados.^^La atención se realizará previa reserva, con 48 horas de anticipación, llamando al 430-4178 o escribiendo a paso_obligao@hotmail.com^^Es indispensable realizar la reserva para ser atendido. ^Exclusivo para consumos en el local. No válido para llevar.^^No olvides presentar tu cupón impreso en el establecimiento.^^Reservas sujetas a disponibilidad.^^Las imágenes mostradas son referenciales. ^^Stock mínimo disponible: 10.^^Una vez realizada la reserva no se aceptarán cambios de fecha, ni cancelaciones.^^Conoce las Políticas y condiciones que aplican a todas nuestras ofertas.^^Realiza tus pagos en efectivo.^^¡Te enviaremos tu OferTOP después de realizar tu compra! No más esperas, para que lo puedas disfrutar cuando te provoque, previa reserva.^^Si en un plazo de 1 hora luego de realizar tu compra no recibes tu cupón OferTOP en tu correo electrónico registrado, por favor escríbenos a clientes@ofertop.pe y te daremos una pronta solución (Coloca en el asunto: Cupón no recibido).|http://ofertop.pe/festival-chancho-para-4-paso-obligao-pachacamac--109-11895.html|True|78d85718625a999e84429af4d1d14f9d64c9fd33
12020|2 cuartos de Pollo a la brasa + Papas y más en Planet Chicken. ¡Riquísimo!|¡Pollito con papas! S/. 33.80 en vez de S/. 42.30 por 2 cuartos de Pollo a la brasa + Papas fritas + 4 Wantanes + Ensalada + 1/2 Porción de torta en PLANET CHICKEN de MegaPlaza|42.3|20.0|8.5|27-03-2015 20:00:00|'2015/03/30 23:59:59'|Todo sobre la oferta^^Si se trata de un antojo de pollo a la brasa por partida doble, yo que tú corro con mi acompañante a Planet Chicken por este combo para 2 con 20% de descuento. ¡Buenazo!^La oferta incluye:^^• 2 cuartos de Pollo a la brasa^^• Guarnición de papas fritas^^• 4 Wantanes^^• Ensalada ^^• 1/2 Porción de torta|Lo que debes Saber^^Podrás usar este cupón hasta el 30 de abril de 2015^^1 OferTOP para 2 personas, regala todos los que quieras.^^Máximo 2 OferTOPs por mesa.^^Podrás validar tu oferta solo de lunes a jueves de 12 p.m. a 11 p.m. ^La atención se realizará previa reserva, llamando al 98901-9952 o 521-7334, en el MegaPlaza de Independencia, en el local de Planet Chicken.^^No olvides presentar tu cupón impreso en el establecimiento.^^Platillos y parte del pollo (pecho o pierna) sujetos a disponibilidad.^^Consumo válido solo para salón.^^No acumulable con otras promociones.^^Las imágenes mostradas son referenciales.^^Stock mínimo disponible: 10.^^Conoce las Políticas y condiciones que aplican a todas nuestras ofertas.^^Realiza tus pagos en efectivo.^^¡Te enviaremos tu OferTOP después de realizar tu compra! No más esperas, para que lo puedas disfrutar cuando te provoque, previa reserva.^^Si en un plazo de 1 hora luego de realizar tu compra no recibes tu cupón OferTOP en tu correo electrónico registrado, por favor escríbenos a clientes@ofertop.pe y te daremos una pronta solución (Coloca en el asunto: Cupón no recibido).|http://ofertop.pe/2-cuartos-pollo-brasa-papas-planet-chicken-riquisimo--109-12020.html|True|c8b76da43936a2eec3d876a64a14eab551850df4
12012|¡Para 2! Parrilla Red Meat en Long Horn de MegaPlaza|S/. 75 en vez de S/. 100 por Parrilla Red Meat para dos: 2 Churrascos + 1 Bondiola de cerdo (200 gr.) + Pechuga de pollo + 2 Anticuchos + Mollejas a la parrilla y más, en LONG HORN de MegaPlaza|100.0|25.0|25.0|27-03-2015 20:00:00|'2015/03/30 23:59:59'|Todo sobre la oferta^^No me digas que al ver las fotos de esta exquisita parrilla, que sin duda está para chuparse los dedos, no dijiste: "ahhhh... esta oferta no me la pierdo". Bueno, no te la pierdad, entonces, viene con 25% de descuento ;)^La oferta incluye:^^• Parrilla Red Meat para 2 personas^^• 2 Copas de Pisco Sour de bienvenida^^• Botella de Vino Tinto (del vino del mes)^^Descripción del plato:^^- 2 Churrascos^^- 1 Bondiola de cerdo de 200 gr^^- 1 Pechuga de pollo^^- 2 Anticuchos de corazón^^- Mollejas de pollo a la parrilla ^^- Papas fritas o papa al horno o ensalada parrillera^^Esta promoción también incluye el derecho de pan, mantequilla y salsas. ^^TOMAR BEBIDAS ALCOHÓLICAS EN EXCESO ES DAÑINO PARA LA SALUD|Lo que debes Saber^^Podrás usar este cupón hasta el 30 de abril 2015.^^1 OferTOP para 2 personas, regala todos los que quieras.^^Máximo 2 OferTOP por visita.^^Horario de atención: de lunes a viernes de 4 p.m. a 10 p.m.^^No acumulable con otras promociones.^^Promoción válida hasta agotar stock.^^Promoción no válida para el 24 de abril. ^La atención no requiere reservas. ^^Oferta sólo válida para LongHorn del Centro Comercial MegaPlaza en Independencia.^^Esta promoción incluye el derecho de pan, mantequilla y salsas. ^^No olvides presentar tu cupón impreso en el establecimiento. ^^No acumulable con otras promociones. ^^Productos sujetos a disponibilidad.^^Las imágenes mostradas son referenciales. ^^Stock mínimo disponible: 10.^^Conoce las Políticas y condiciones que aplican a todas nuestras ofertas.^^Realiza tus pagos en efectivo.^^¡Te enviaremos tu OferTOP después de realizar tu compra! No más esperas, para que lo puedas disfrutar cuando te provoque, previa cita.^^Si en un plazo de 1 hora luego de realizar tu compra no recibes tu cupón OferTOP en tu correo electrónico registrado, por favor escríbenos a clientes@ofertop.pe y te daremos una pronta solución (Coloca en el asunto: Cupón no recibido).|http://ofertop.pe/para-2-parrilla-meat-long-horn-megaplaza--109-12012.html|True|c2bbb8a88197a47163062c6b45c9f67afd3b8e30
11914|Pachamanca 3 sabores para 2 en El Rancho Grande|¡Para 2! S/. 19.90 en vez de S/. 40 por 1 Pachamanca 3 sabores (pollo, cordero y lechón) + Papa huayro + Humita + Camote + Habas y más, en EL RANCHO GRANDE|40.0|50.0|20.1|27-03-2015 20:00:00|'2015/03/30 23:59:59'|Todo sobre la oferta^^El inigualable sabor de esta suculenta y generosa pachamanca acabará con esos repentinos antojos de comida criolla. ¡Aprovecha este descuento de hasta 50%!^La oferta incluye:^^• Pachamanca para 2 en El Rancho Grande^^Descripción:^^- 1 Pachamanca 3 sabores (pollo, cordero y lechón)^^- Porción de Papa huayro^^- Porción de Papa yungay^^- Porción de Queso^^- Porción de Oca^^- Porción de Camote^^- Porción de Humita^^- Porción de Habas^^- Porción de Choclo^^- Ají de Huacatay^^^¡Todo viene servido en un solo plato! Buen provecho... ¡Disfrútalo!|Lo que debes Saber^^Podrás usar este cupón hasta el 5 de mayo de 2015.^^1 OferTOP para 2 personas, regala todos los que quieras.^^Máximo 1 OferTOP por mesa.^^Horario de atención: de lunes a viernes de 12 m. a 5 p.m.^^La atención se realizará previa reserva, con 24 horas de anticipación, llamando al: 543-3369 o al 98907-7704.^^Oferta no válida para llevar, solo para consumo en el local.^^No válido para feriados ni días festivos.^^Oferta no acumulable con otras promociones.^^No olvides presentar tu cupón impreso en el establecimiento antes de iniciado el consumo.^^Reservas sujetas a disponibilidad.^^Las imágenes mostradas son referenciales.^^Una vez realizada la reserva no se aceptarán cambios de fecha, ni cancelaciones.^^Conoce las Políticas y condiciones que aplican a todas nuestras ofertas.^^Realiza tus pagos en efectivo.^^¡Te enviaremos tu OferTOP después de realizar tu compra! No más esperas, para que lo puedas disfrutar cuando te provoque, previa reserva.^^Si en un plazo de 1 hora luego de realizar tu compra no recibes tu cupón OferTOP en tu correo electrónico registrado, por favor escríbenos a clientes@ofertop.pe y te daremos una pronta solución (Coloca en el asunto: Cupón no recibido).|http://ofertop.pe/pachamanca-3-sabores-para-2-rancho-grande--109-11914.html|True|8a02ebefecc21ff8bc23e35d2755271828cf9348
11474|2 Entradas + Piqueo + Bebidas en "Folclor en La Candelaria"|Desde S/. 39 por 2 o 4 Entradas al espectáculo “Folclor en La Candelaria” + Fuente de piqueo + Cervezas Backus Ice en LA CANDELARIA. Válido los viernes y sábados|103.0|62.0|64.0|27-03-2015 20:00:00|'2015/03/30 23:59:59'|Todo sobre la oferta^^¡Show Folklórico! OferTOP quiere que vivas al máximo nuestra rica cultura con los bailes y jaranas de la costa, sierra y selva. Lo mejor es que vivirás esta gran fiesta con el 62% de descuento junto a un acompañante. ¡Nooo te lo pierdas! :)^La oferta incluye:^OPCIÓN 1:^^S/. 39 en vez de S/. 103 por:^^• 2 entradas al espectáculo “Folclor en La Candelaria”^^• 1 Fuente de tequeños ^^• 2 Cervezas Backus Ice de 310 ml.^^OPCIÓN 2:^^S/. 79 en vez de S/. 210 por:^^• 4 entradas al espectáculo “Folclor en La Candelaria”^^• 1 Fuente de chicharrón de pollo.^^• 4 Cervezas Backus Ice de 310 ml.^^TOMAR BEBIDAS ALCOHÓLICAS EN EXCESO ES DAÑINO PARA LA SALUD^^Descripción:^^Toda la magia y el encanto del Perú a través de su música y sus danzas en un sólo espectáculo de 4 horas.   Ocho coloridas danzas con el sabor de la costa, sierra y selva componen las secuencias coreográficas de cada espectáculo. Disfrutarás de cada uno de los elencos coreográficos de danzas andinas, mestizas, afroperuanas y criollas, acompañadas por una orquesta de primera.^^Secuencias interactivas como el “Feliz Cumpleaños” que se recibe con una Tropa de Sikuris, la más antigua y genuina expresión musical de nuestro continente; ‘”La Hora Internacional” lo máximo en secuencia interactiva, donde los amigos extranjeros  nos regalan un pedacito de su país, bailando algún ritmo de su tierra; las clases de danzas negras; entre otras, redondean el espectáculo. Agréguele amabilidad, sonido inmejorable, pródiga iluminación con una buena pista de baile, y redondeará un recuerdo inolvidable^^* Hora de atención: viernes y sábados desde las 9.00 p.m.^^* Hora del espectáculo: de 10.30 p.m. a 2.30 a.m.|Lo que debes Saber^^Podrás usar este cupón hasta el 25 de abril del 2015.^^Fecha máxima para comprar: 16 de abril de 2015. ^1 OferTOP para 2 o 4 personas, regala todos los que quieras.^^Horario de reservas: de lunes a sábado de 9 a.m. a 6 p.m. ^^Hora de atención: viernes y sábados desde las 9.00 p.m^^Horario del espectáculo: de 10.30 p.m. a 2.30 a.m.^^La atención se realizará previa reserva, con 48 horas de anticipación, llamando al 247-1314 / 247-2941 o escribiendo a reservas@lacandelariaperu.com.^^Oferta válida para hombres y mujeres mayores de edad. Menores en compañía de un adulto.^^Oferta válida para mesas (compartidas) en zona general.^^La empresa se reserva el derecho a ubicación. ^^Se aceptan todas las tarjetas de crédito.^^No acumulable con otras promociones. ^^Reservas sujetas a disponibilidad.^^No olvides presentar tu cupón impreso en el establecimiento.^^Las imágenes mostradas son referenciales. ^^Una vez realizada la reserva no se aceptarán cambios de fecha, ni cancelaciones.^^Conoce las Políticas y condiciones que aplican a todas nuestras ofertas.^^Realiza tus pagos en efectivo.^^¡Te enviaremos tu OferTOP después de realizar tu compra! No más esperas, para que lo puedas disfrutar cuando te provoque, previa reserva. ^^Si en un plazo de 1 hora luego de realizar tu compra no recibes tu cupón OferTOP en tu correo electrónico registrado, por favor escríbenos a clientes@ofertop.pe y te daremos una pronta solución (Coloca en el asunto: Cupón no recibido).|http://ofertop.pe/2-entradas-piqueo-bebidas-folclor-candelaria--109-11474.html|True|6317ba5dcc846a6464cc6e1d675043fc9d7db047
11845|Pizza Familiar + Entrada en Don Rosalino|¡Para 4! S/. 48 en vez de S/. 68 por Pizza Familiar en sabor a elegir + Entrada en DON ROSALINO|68.0|29.0|20.0|27-03-2015 20:00:00|'2015/03/30 23:59:59'|Todo sobre la oferta^^Disfruta de una exquisita pizza con los que más quieres. ¡No dejes pasar esta promo que Don  Rosalino y OferTOP traen para ti con 29% de descuento y disfruta de un momento agradable con la familia!^La oferta incluye:^^• Pizza familiar en sabor a elegir: Rosalino, Hawaii, Americana o Especial.^^• Entrada: Porción de pan al ajo.^^¡Lo mejor de las pastas, carnes, mariscos y pescados, en un solo lugar!|Lo que debes Saber^^Podrás usar este cupón hasta el 30 de abril de 2015.^^1 OferTOP para 4 personas, regala todos los que quieras. ^^Máximo 1 OferTOP por mesa.^^Horario de atención: de lunes a jueves de 12 m. a 3 p.m. y de 7 p.m. a 10 p.m. (Miraflores) / de lunes a jueves de 12:30 m. a 10 p.m. (San Borja). Oferta no válida para feriados y días festivos. ^^La atención se realizará previa reserva, con 24 horas de anticipación, llamando al 447-6805 (Miraflores) / 476-7732 (San Borja).^^Oferta válida para sus dos locales: Miraflores y San Borja.^^No olvides presentar tu cupón impreso en el establecimiento.^^No acumulable con otras promociones.^^Productos sujetos a disponibilidad.^^Las imágenes mostradas son referenciales.^^Stock mínimo disponible: 10.^^Una vez realizada la cita no se aceptarán cambios de fecha, ni cancelaciones.^^Conoce las Políticas y condiciones que aplican a todas nuestras ofertas.^^Realiza tus pagos en efectivo.^^¡Te enviaremos tu OferTOP después de realizar tu compra! No más esperas, para que lo puedas disfrutar cuando te provoque, previa cita.^^Si en un plazo de 1 hora luego de realizar tu compra no recibes tu cupón OferTOP en tu correo electrónico registrado, por favor escríbenos a clientes@ofertop.pe y te daremos una pronta solución (Coloca en el asunto: Cupón no recibido).|http://ofertop.pe/pizza-familiar-entrada-rosalino--109-11845.html|True|a9075c7fc5fa8496137a012348379f1fc12e4c8a
